EveNamn,EveBesk,Event Relevance,Location Category
Samtalsstund Ross transformation,"Samtalsstund Ross transformation
Ross Thornbacke föddes i fel kropp Hans yttre stämde inte överens med den han var på insidan
Ross är nu mitt i sin pågående könsbytesprocess En transsexuell man med erfarenhet från två olika liv Om ambivalens och beslutsamhet om sorg och glädje Vi får lyssna till Ross berättelse i formatet av ett samtal
Samtalsledare Peter Frejhagen

Frivilligt inträde frivilligt utträde
Välkommen ♥",90,Local Business
Novellklubben våren 2019,"Novellklubben våren 2019
Visst gillar du också att prata om det du har läst Då är du välkommen till Lindängenbibliotekets novellklubb Här läser alla en utvald novell som vi sedan analyserar i grupp enligt en speciell modell Inga förkunskaper krävs här kan alla vara med Begränsat antal platser anmäl dig och hämta ut din novell på biblioteket

OBS Nytt för i vår

 6 tillfällen varav två lördagar kl 1130
 Kvällstiderna på tisdagarna är ändrade till 1730
 Två av tillfällena är en upprepning av en tidigare novell

Vi gör detta för att se om vi kan locka nya besökare till våra träffar inte för att skrämma bort våra trogna deltagare

Lörd 261 kl 1130 John Steinbeck  Krysantemum
Tisd 122 kl 1000 Kazuo Ishiguro  En familjemiddag
Tisd 262 kl 1730 Kazuo Ishiguro  En familjemiddag
Tisd 94 kl 1000 Toni Morrison  Recitatif
Tisd 145 kl 1730 Toni Morrison  Recitatif
Lörd 16 kl 1130 Herta Müller  Hunger och siden",406,Library
Folkmusikcafé på Markan,"Folkmusikcafé på Markan
Välkommen till vårens folkmusikkvällar på Markan Hässleholm
Ta med eget akustiskt instrument och spela med i kända och okända folkmusiklåtar under ledning av Nils Wiberg riksspelman på fiol
Eller kom utan instrument och slå dig ner och lyssna
Entrén är gratis och fika till bra pris köper du i serveringen",915,Event
Betonggjutning Helgkurs,"Betonggjutning Helgkurs
Betong är ett roligt och spännande material att skapa med

Innehåll
Vi lär oss mer om materialet betong och hur man gjuter i färdiga formar och vi pratar om hur man bygger egna formar av saker man ofta har hemma
Målsättningen med kursen är att du som kursdeltagare ska bli så pass bekant med materialet att du kan fortsätta ditt skapande hemma I kursen fokuserar vi på att skapa ett litet fat skål eller skulptur
Förkunskaper
Inga förkunskaper krävs

Kursmaterial
Visst material ingår finbetong armeringsnät tråd fäst och fogmassa samt frigolit släppmedel till betongen  till ett cirka pris av 200kr Medtag egna förpackningar och formar om du önskar göra något speciellt Börja gärna med det du har hemma så som mjölpaket fat hinkarburkar Medtag gärna hink spademurarslev ett par plasthandskar samt andningsskydd

Kursledare
Nils Bertil Malmberg har utbildat sig på Konstfackskolan i Stockholm och på Akademin i Helsingfors Han har lång erfarenhet som skulptör porträtt skulptering offentlig gestaltning mm Han arbetar i trä sten betong lera och i de flesta metaller mm Nils Bertil har lång erfarenhet som skulpturlärare på olika skolor och att hålla i kurser Verksamheten drivs av konstnärer med gedigen utbildning inom respektive ämne",107,Art Gallery
Spel  Sånt Mästerskapen 4  En del av SM,"Spel  Sånt Mästerskapen 4  En del av SM
Spel  Sånt Mästerskapen 4  En del av SM
Datum Lördag 11 Maj
Registrering 15001610
Start ca 1620
Format War of the Spark Draft
Kostnad 160kr

Spel  Sånt Mästerskapen 2019 i Magic the Gathering är här
Spela och ha kul i Magic och tävla om plats i butikslaget och representera Spel  Sånt i de nationella Butiksmästerskapen

Med fina priser som Pokal betalt inträde till Magic SM och massor utav boosters i prispotten är detta årets Magic happening på Spel  Sånt

Som tidigare år håller vi även denna gång fyra turneringar i olika format där vinnaren från varje får en plats i butikslaget

Vinnaren med flest poäng efter alla fyra turneringar kommer även utses till rollen som lagkapten och den med totalt flest poäng blir butiksmästare och får en snygg pokal

Avgift
Vi kommer att spela totalt fyra turneringar där ibland Sealed KeepDraft och Standard Constructed Kostnaden för att vara med i turneringarna är som följande Sealed 260kr Draft 160kr  Standard 80kr

Vinster
Ettan från varje turnering får chansen till en plats i Spel  Sånts Butikslag och betalt inträde till SM i Magic värde ca 500kr den deltagare i laget som har kammat ihop flest antal poäng totalt under alla turneringar kommer även att utses till Lagkapten Spelaren med totalt flest poäng efter alla turneringar blir utsedd till butiksmästare och får en snygg pokal utöver detta kommer det även att läggas 2st Boosters per spelare i en prispott per turnering

Registrering
Registrering och betalning sker på Spel  Sånt registreringen håller öppet mellan klockan 15001610 turneringarna startar ca kl 1620 Standard turneringar kräver decklist som lämnas in innan start

Schema
09 Mars  Lördag  Reg stänger kl 1610  SpelSånt Mästerskapen 1 Sealed Avgift 260kr
23 Mars  Lördag  Reg stänger kl 1610  SpelSånt Mästerskapen 2 Standard Avgift 80kr
13 April  Lördag  Reg stänger kl 1610  SpelSånt Mästerskapen 3 Standard Avgift 80kr
11 Maj  Lördag  Reg stänger kl 1610  SpelSånt Mästerskapen 4 Draft Avgift 160kr",262,Video Game
Mer Happy Fascia  18 maj,"Mer Happy Fascia  18 maj
Åsa Åhman kommer tillbaka till oss för tredje gången med Mer Happy Fascia Det är en fristående fortsättning på hennes tidigare kurser
Det är en praktisk yogaworkshop där du lär dig mer om kroppen utifrån ett eget utforskande Passar alla nivåer och utövare av alla yogaformer

Läs mer och bokahttpswwwashtangauppsalaseprodukthappyfascia18maj2019",57,gym
Kroki,"Kroki
Detta krokitillfälle gästas vi av två kvinnliga modeller
Inga förkunskaper behövs Ta med eget block och penna Enkelt målarmaterial finns att låna
Kostnad 80 kr inklusive fika
Anmälan till kursledare Majsa Andersson 073150 21 03
Hjärtligt välkommen",46,Local Business
Mat eller ogräs,"Mat eller ogräs
Här lär vi oss tänka nytt och använda det vi ofta rensar bort
Mycket av det vi kallar ogräs är fantastiskt gott och framförallt näringsrik mat Här får du lära dig känna igen samt hur du kan använda våra ”vanligaste ogräs” i din vardag

Anmälan till Jeanette på sms0703175293 eller mailjpspraktikgmailcom
150 kr  person",101,Florist
Öppna förskolan får besök av psykolog,"Öppna förskolan får besök av psykolog
Idag gästas öppna förskolan av en psykolog som är specialiserad på barns beteende och utveckling Fram till 1100 finns chansen att få svar på dina frågor och fundering Kom och diskutera och samtala tillsammans med andra föräldrar eller enskilt med start kl1000 Välkomna 😀",34,Doctor
Jens Liljestrand om Moberg  Författarbesök,"Jens Liljestrand om Moberg  Författarbesök
Jens Liljestrand har kallats för den främsta Vilhelm Mobergexperten i landet Han avlade sin doktorsexamen med avhandlingen Mobergland Personligt och politiskt i Vilhelm Mobergs utvandrarserie 2009 och har sedan dess fortsatt odla sitt intresse för den småländska giganten Förra året publicerade han summan av sina många års forskning på ämnet i biografin Mannen i skogen Boken nominerades till Augustpriset 2018

Vill du veta mer om Jens Liljestrand och Vilhelm Moberg så besöker i alla fall en av dem Stadsbibliotekets hörsal den 2a maj Föreläsningen börjar vid kl 1900 och är kostnadsfritt

Tänk på att vara i god tid om du vill vara säker på att få en plats",49,Public Service
Fernandoz,"Fernandoz
Söndagsdans Återigen genomtrevliga Fernandoz på plats i rotundan Entré 180 Kort kontant eller swish Glöm inte att göra ett besök i cafeterian vi ses i snurren parken",164,Event Planner
Hästens dag och mässa,"Hästens dag och mässa
Hästens dag  Loppis


Lördag 4 maj kl1014
På Toric Center mellan Lysekil och Brastad
En dag i maj med mycket härliga möten
Fri entré och kommer att vara öppen för allmänheten
En riktig familjefest med ponnyridning för de yngsta
Korv och bröd café för de fikasugna
Häst och vagn föreläsningar och utställare och anat häst skoj
Varmt välkomna

Toric Center Nöteberg 112 454 91 Brastad Maria 0736 821073

Paddock program  finns möjligheter att boka
1000 Frihetsdressyr och Akademiskridning
1100
1130
1200

Föreläsning i stallgången
Finns platser att boka




Obs programmen är preliminära
Du kan ställa ut ditt företag Gratis
Perfekta ställe att träffa andra företagare Hästens dag och mässa Vi kommer att ha en loppis och utställare gratis för alla Medtag eget bord
Varmt välkommna",151,HorseDrawn Carriage Service
Regementets dag 2019,"Regementets dag 2019
Den 4 maj öppnar vi återigen grindarna för Regementets dag här i Enköping Då kommer du som besökare kunna känna och klämma på en del av vår utrustning äta lite klassisk ärtsoppa och ställa massor av frågor till oss som jobbar här

Programmet under dagen
0915 Konsert på Stora torget i Enköping
1000 Grindarna öppnas
1050 Chefen Ledningsregementet Öppningsceremoni
1100 Målbildsförevisning
1130 Konsert Musikkår
1300 Målbildsförevisning
1330 Chefen Ledningsregementet Avtackning anhöriga
1415 Konsert Musikkår
1600 Grindarna stängs",269,Armed Forces
Målardagar,"Målardagar
Du är välkommen att komma och måla tillsammans med mig i ateljén Inga krav bara att du tycker om att MÅLA
Du får tillgång till en målarplats med golvstaffli och fika ingår i priset 200 krdag
Anmälan via sms pm eller infomonaomcom",51,Arts  Entertainment
South Swedish rally 2019,"South Swedish rally 2019
Årets första SmTävling på grus",163,Museum
Lättläst bokcirkel,"Lättläst bokcirkel
I Lindängenbibliotekets lättlästa bokcirkel läser vi böcker på lätt svenska Alla läser samma bok sedan träffas vi och diskuterar boken med varandra Anmäl dig och hämta boken på biblioteket fråga personalen",71,Library
Quiz med Jonas sagorösten winberg,"Quiz med Jonas sagorösten winberg
Quiz med vår briljante Jonas Winberg
Samla ihop vänner och familj kom och njut av en trevlig kväll Även denna gång ser kanoon Productions till att ljudet är på topp Frågorna kommer även denna gång vara kluriga roliga och knepiga OBS Vi har bytt dag till Torsdagar Förboka gärna bord 030451333",323,Hotel  Lodging
Samiska programmets slöjdutställning,"Samiska programmets slöjdutställning
En slöjdutställning med olika varianter av förvaring
producerad av eleverna på Samiska programmet
Lapplands gymnasium Jokkmokk
Praktiskt tjusigt och fint
Välkommen på vernissage den 7 maj kl15",138,museum
FULLBOKAT HALMSTADKUBBEN 2019,"FULLBOKAT HALMSTADKUBBEN 2019
HALMSTADKUBBEN
Datum 24 maj

För 9e året i rad arrangerar vi återigen den efterlängtade Halmstadkubben Detta år avgörs tävlingen på gräsplanen vid Rejmes Bil
Det här kan bli personalfesten du aldrig glömmer Ett roligt och beprövat event som engagerar kunder och personal från början till slut

Kvällen avslutas med AfterKubb som innehåller god mat dryck och livemusik

Hör av dig till josefinechaleniusfredinsse eller ring 035106806",498,Car Dealership
Women in Entrepreneurship Breakfast Lund  9th of May Barista,"Women in Entrepreneurship Breakfast Lund  9th of May Barista
Its time for another one of our family style breakfasts in Lund on the 9th of May at Barista  Ideon

Are you interested in entrepreneurship but not sure how to start Do you want to know more about the startup scene of Skåne Or maybe youre just looking to exchange ideas and meet inspiring people in the startup community Join us at Barista and youll meet all of the above and have a chance to talk to them

At this breakfast Sofie Woge CEO  Founder of Tendo will talk about her journey as an entrepreneur

As usual there will be coffee and mingle from 730 breakfast at 800 and then youre ready and energized for work by 9",167,cafe
ESN Kalmar Norway trip  spring 2019,"ESN Kalmar Norway trip  spring 2019
Come and discover Fjords of Norway with Scanbalt Experience The landscape is truly unique  mighty fjords surrounded by majestic snowcovered mountain peaks wild waterfalls and lush green vegetation The fjord area is like a great playground for those who are keen on outdoor activities as well as for those who just love nature and picturesque sceneries


Tour dates
Stockholm departure stops Örebro Uppsala Västerås Oslo 03  08 May 2019
Göteborg departure stops Borås Trollhättan Oslo 04  09 May 2019

Duration 6 days5 nights 1 night in Oslo 2 nights in fjord area 1 night in Bergen 1 night on the bus

Student price 322 EUR Oslo  352 EUR Stockholm
305 EUR Oslo  340 EUR Göteborg


Included

Bus transportation for a whole tour
Services from Scanbalt tour manager
Guided tours in Oslo and Bergen
4 nights accommodation in hostels and cabins shared roomscabins
1 breakfast
Borgund Stave Church visit
Hikes with tour manager

for more information
httpswwwscanbaltexperiencecomfjordexplorer",409,Nonprofit Organization
Poesikväll På spaning i den tid som är nu,"Poesikväll På spaning i den tid som är nu
Datum 16 maj 2019 kl 1830
Plats Kulturhuset Fanfarens café

Vi fortsätter med våra populära poesikvällar Alltid öppen scen

Den här kvällen är temat På spaning i den tid som är nu och ordnas tillsammans med Lyktans poeter Läs upp en dikt som du eller någon annan skrivit Du väljer själv formen  spoken word eller på ett annat språk Allt funkar

Det enda är att man ska hålla god ton och att det du läser inte ska kränka någon annan Alla som bara vill komma och lyssna är såklart också hjärtligt välkomna Vårt mål är att alla som vill läsa ska få möjligheten

Cafét kommer att hålla öppet under kvällen så att vi kan njuta av en fika och lyssna till fantastisk poesi

Öppen scen i samarbete med Lyktans poeter",524,Arts  entertainment
Samiska programmets slöjdutställning,"Samiska programmets slöjdutställning
En slöjdutställning med olika varianter av förvaring
producerad av eleverna på Samiska programmet
Lapplands gymnasium Jokkmokk
Praktiskt tjusigt och fint
Välkommen på vernissage den 7 maj kl15",138,museum
Women in Entrepreneurship Breakfast Malmö – 7th of May Djäkne,"Women in Entrepreneurship Breakfast Malmö – 7th of May Djäkne
Its time for another one of our family style breakfasts in Malmö on the 7th of May at Djäkne

Are you interested in entrepreneurship but not sure how to start Do you want to know more about the startup scene of Skåne Or maybe youre just looking to exchange ideas and meet inspiring people in the startup community Join us at Djäkne and youll meet all of the above and have a chance to talk to them

Speakers and theme to be announced

As usual there will be coffee and mingle from 730 breakfast at 800 and then youre ready and energized for work by 9",95,Event
Språkcafé,"Språkcafé
Språkcafé i Café Gondolen

Vi fortsätter med våra språkcaféer under våren 2019

Språkcaféet är öppet för alla som vill vara med
Vi träffas i caféet i Vox Cultura Edsbyns bibliotek och museum på Långgatan 31 i Edsbyn och fikar och pratar

Tid dropin kl 18002000

Vi bjuder på fika

Arrangör Edsbyns bibliotek  Ovanåkers kommun",318,Library
Motorträff på Wenngarn,"Motorträff på Wenngarn
Äntligen Premiär för motorträffar på Wenngarn Kulturstallet Onsdagar
15 drar vi igång från 11002100
Kommande Onsdagar 17002100
GPS5964877217719628
Wenngarn 19391 Sigtuna
Varmt Välkomna till Wenngarn 🏍🏎 Motorträff På Wenngarn
Äntligen Premiär för motorträffar på Wenngarn  Kulturstallet Onsdagar
15 drar vi igång 10002100
Följande Onsdagar 17002100
GPS5964877217719628
Wenngarn 19391 Sigtuna
Varmt Välkomna🏍🏎🚗🏍",438,Local Business
HBTQI  Samhällsnormer diskriminering och språk,"HBTQI  Samhällsnormer diskriminering och språk
Örebro Rättighetscenter i samarbete med ABF Örebro län bjuder in till en kunskapshöjande och interaktiv studiecirkel kring temat HBTQI

Vad är kön egentligen

Vad är sexuell läggning egentligen

Hur hör kön och sexuell läggning ihop enligt samhällets normsystem trots att de egentligen är helt skilda

Under studiecirkeln belyses olika identiteter som faller under begreppet HBTQI Vi undersöker hur normer generellt och heterooch cisnormer i synnerhet hör ihop med diskriminering av HBTQIpersoner

Vi undersöker också hur språk och ordval formar vår världsbild och bidrar till samt hindrar att alla människor blir inkluderade i samhället

Cirkelledare är Stina Odlingson utbildningsansvarig på Örebro Rättighetscenter Hon har varit aktiv i arbetet för de mänskliga rättigheterna i över 10 år och i sin aktivism haft extra fokus på HBTQrättigheter Hon har dessutom skrivit sin kandidatuppsats i retorik kring de kluster av ordval som svenska vs ryska medier använder för att framställa hbtsamhället

När Tisdagar klockan 17301850 4 träffar med start 7 maj
Var Karlskoga bibliotek samtalsrum 1
Kostnad Studiecirkeln är kostnadsfri
Behov av särskilda anpassningar Uppge detta i anmälan

Anmälan görs endast via denna länk
httpswwwabfsearrangemangorebrolanorebrosamhallepolitikfackligt2hbtqisamhallsnormerdiskrimineringochsprakanmalan",136,Library
Bygdecafé,"Bygdecafé
Bygdecaféerna ska vara den självklara mötesplatsen för alla Järsöbor Där träffas såväl nyinflyttade som urinvinvånare ung som gammal engagerad som nyfiken för att mötas lära känna varandra och samtala om det som händer i Järvsöbygden

Datum första torsdagen varje månad
Tid 18002000
Plats Järvsö Workspace Stationsgatan 27
Arrangör JärvsöRådet
För frågor kontakta Märit Andersson

Välkommen på fika och till goda samtal Bygdecafé
Bygdecaféerna ska vara den självklara mötesplatsen för alla Järsöbor Där träffas såväl nyinflyttade som urinvinvånare ung som gammal engagerad som nyfiken för att mötas lära känna varandra och samtala om det som händer i Järvsöbygden

Datum första torsdagen varje månad
Tid 18002000
Plats Järvsö Workspace Stationsgatan 27
Arrangör JärvsöRådet
För frågor kontakta Märit Andersson

Välkommen på fika och till goda samtal",199,Business Service
Mwuana  Katalin  3 maj,"Mwuana  Katalin  3 maj
Brink  Berger presenterar stolt Mwuana  Hypervision Tour den 3e maj på Katalin

Spelplats Katalin
Datum 3 maj 2019
Biljettpris ordinarie 275 kr  service
Åldersgräns 20 år
Arrangör Brink  Berger

Mwuana må bara ha släppt ett album men stockholmssonen är redan på toppen av näringskedjan En gentlemanna badboy lika präglad av melankoli som av självförtroende En naturlig stjärna som med en sällsynt lätthet rör sig mellan rap och sång i ett gränslöst modernt språk Oavsett om det är över trap mjuk 70talssoul karibiska rytmer eller – som i senaste singeln Craftmanship – ett minimalistiskt basmättat pianoriff så flödar Mwuanas fängslande röst fritt Med en mjuk men självklar pondus blandar Mwuana eller Robin Nyström som han också heter romantik och svårmod med rapporter från en stundtals tuff verklighet Och det är ur dessa kontraster som hans unika artisteri karvas ut i kasten mellan det sammetslena och det stenhårda – allt levererat med en nästan smärtsam uppriktighet

Efter en hyllad EPtriologi och det fantastiska mixtapet MWGO så kom debutalbumet Triller 2017 Skivan slog ned som en välkommen bomb i hiphopSverige Det var kaxigt samtida relevant och begåvat Kritiker tävlade i att hitta superlativ och Mwuana vann priset för Årets Hiphop på P3 Guld samt nominerades till hela tre Grammisar Albumet följdes av ett intensivt turnerande med bland annat en omtalad spelning på Dramaten Nu är det 2019 och Mwuana är tillbaka med ny innovativ musik Året startade med ett majestätisk framförande av singeln Showstopper feat Timbuktu på P3 Guldgalan och följdes upp av ovan nämnda Craftmanship och nu ska Mwuana ut på en efterlängtad vårturné Missa inte när en av hiphopSveriges klarast lysande stjärnor kommer till en stad nära dig",939,bar
Open mic x Spoken word Night,"Open mic x Spoken word Night
CBP  NOMAD PRESENTS

OPEN STAGE NIGHT
LOCATION Upplandsgatan 2 courtyard
HAPPY HOUR 89 PM
ENTRANCE FREE

Come over and express yourself during our open stage night
There will be a stage with a microphone and a guitar that youre more then welcome to use Of course you can bring your own instrument to join this beautiful evening

GUITAR  VOICE  COURT YARD  DRINK  VOICE POETRY 

PERFORMANCES PLEASE SIGN UP AT
httpswwwcitybackpackersorgtours",692,lodging
Föreningsträffar med Queernördarna Väst,"Föreningsträffar med Queernördarna Väst
Välkommen till en fikaträff med QueerNördarna Väst

Nu drar föreningsträffar med Queernördarna Väst igång på Cafe Sirius

QueerNördarna är en Sverokförening med syfte att ge hbtqi en plats i spelhobbyn Detta främst genom att skapa mötesplatser för hbtqipersoner och allierade att kunna spela och utöva sin hobby på
Andra söndagen i varje månad kan du komma in och träffa andra queernördar före trevligt häng och spel
Ta inte med medhavd mat och du får jättegärna stötta cafet genom att handla något under träffarna 


Varmt välkomna",84,Coffee Shop
Open mic x Spoken word Night,"Open mic x Spoken word Night
CBP  NOMAD PRESENTS

OPEN STAGE NIGHT
LOCATION Upplandsgatan 2 courtyard
HAPPY HOUR 89 PM
ENTRANCE FREE

Come over and express yourself during our open stage night
There will be a stage with a microphone and a guitar that youre more then welcome to use Of course you can bring your own instrument to join this beautiful evening

GUITAR  VOICE  COURT YARD  DRINK  VOICE POETRY 

PERFORMANCES PLEASE SIGN UP AT
httpswwwcitybackpackersorgtours",692,lodging
FRAMTIDS  KUNSKAPSDAGAR,"FRAMTIDS  KUNSKAPSDAGAR
",161,Nonprofit Organization
Bokcirkel för vuxna Göteborg då och nu,"Bokcirkel för vuxna Göteborg då och nu
Under våren kan du delta i Guldhedens öppna bokcirkel på temat Göteborg då och nu Nu har vi kommit fram till vårt sista tillfälle Till denna gång läser vi Under två timmar av Hanna Landahl ett varmt och humoristiskt samtidsdrama Staffan tränar inte alls och därmed är han också ansvarslös Totalt betydelselös enligt honom själv Någonstans bland blöjbyten fotbollsträningar de alltför långa grå myndighetskorridorerna på Migrationsverket har han tappat bort sig själv den status han en gång hade Nu är det dags att ändra på det Staffan bestämmer sig för att göra det som alla andra gör Han ska springa Göteborgsvarvet och han ska göra det med bravur på under två timmar Begränsat antal platser Föranmälan görs till biblioteket på tel 031365 72 45 Boken finns att låna i informationsdisken på Guldhedens bibliotek",96,Library
Loppis på Vilhelmsro,"Loppis på Vilhelmsro
Traditionsenligt firar vi 1a maj med loppis här på gården
Loppisen som är utomhus är öppen 1114 cafét är öppet 1116

Vill du vara med och sälja
Det kostar 100 kr att vara med och du tar med eget bord
Kontakta oss för att boka plats
infovilhelmsrogardse · 0515 – 68 51 51",124,cafe
Limsjön marathon 2019,"Limsjön marathon 2019
För 8e året på rad  världens snällaste lopp LIMSJÖN MARATHON ♥️🌿 spring jogga eller gå 742 km i vår etapptävling Var med 16 varv start 800 930 1100 1300 1430 1600 Kostnadsfritt  skänk valfri summa till Barncancerfonden",217,Sports  Recreation
Burlesque Workshop,"Burlesque Workshop
Nu finns det äntligen möjlighet att dansa Burlesque i Linköping igen

Kristina från showgruppen The Coursettes lär dig en flirtig koreografi med stolen som rekvisita Målet är inte att dansa perfekt utan att ha riktigt roligt och lära sig älska sin egen kropp genom dansen Vi dansar i det vi känner oss bekväma i Oavsett om du väljer träningstights eller fjäderboa så drar vi fram den inre burlesquegudinnan ur dig Koreografi och rörelser är vad man skulle kalla typiskt kvinnliga men alla är välkomna

Nybörjare eller mer erfaren spelar ingen roll workshopen passar alla som har någorlunda koll på sina ben

I Burlesque dansar vi oftast barfota så träningsskorna får stanna hemma den här gången Vi ses på söndag 19 maj
Förbokning behövs anmälan och mer information här 
httpwwwdansarnaseindexphpsvkursereventburlesquesesingleburlesque727burlesqueworkshop

Ordinarie pris  225 SEK
Rabatterat pris  180 kr vid bokning senast 5 maj
Studenter får alltid 10 rabatt extra

English
Now theres finally another opportuniy to dance Burlesque in Linköping again

Kristina from the showgroup The Coursettes will teach you a flirty choreography with the chair as a prop The goal is not to dance perfectly but to have a whole lot of fun and learn to love your own body through the dance We dance in whatever we feel comfortable it Whether you choose workout tights or a feather boa well make your inner burlesque goddess show her face The choreography and movements are what you would call typically female but anyone is welcome

Beginner or more experienced it doesnt matter The workshop fits anyone who has a decent control of their legs

In burlesque we usually dance barefoot so the trainers get to stay home this time See you Sunday the 19th of May

Early bird discount 20 until the 5th of Maj 10 discount for students",451,Dance Studio
Fransk barock,"Fransk barock
Camerata Øresund
Nordic baroque Dancers
Peter Spissky – konsertmästare

Musik av Rebel Lully och Leclair


Fri entré  Välkommen",839,Religious organization
St Jimi Sebastian Cricket Club at Stampen May 8 2019,"St Jimi Sebastian Cricket Club at Stampen May 8 2019
httpwwwsongkickcomconcerts36853424stjimisebastiancricketclubatstampen St Jimi Sebastian Cricket Club  Live
Kom och se Stockholms största cricket club Inträde 50kr
Dörrar från 1930 live start ca 2100

”delightfully honest and complex at the same time…Keep your eyes on this band – we’re not entirely sure what to expect but we’re curious to see what they’ll come up with next” Indie Berlin – Germany

httpsopenspotifycomartist4PTviObwM6qmFlvncZhlUrsiSHt2AlQYSqSWZvJ98ZUGfA

httpswwwyoutubecomwatchvVqFu27vlpsE
httpswwwyoutubecomwatchvsqUNB6MmfE
httpswwwyoutubecomwatchvb3Ryd6uArk
httpswwwyoutubecomwatchvsGSQoETvmZ8",949,bar
Leksands Medeltidsmarknad,"Leksands Medeltidsmarknad
Stora och små
Vänner bekanta grannar och annat löst folk
VARMT VÄLKOMNA TILL LEKSANDS MEDELTIDSMARKNAD
Här möts du av stök mat och bök Spännande Tornespel gycklare spelmän och riddare Du kan handla allt från tyger keramik och kryddor till mystiska ting från när och fjärran Delta i kurser och andra aktiviteter eller bara strosa runt och njuta av tidsresan
På lördag kväll bjuder vi in till ett MEDELTIDA GÄSTABUD med helgrillad gårdsgris sång gyckel och magi i skenet från sprakande eldar på Leksand Strand

För mer info httpleksandsmedeltidse

Öppettider ToLö kl1118 Sö kl1117
Entré vuxen 60 kr barn 312 år 30 kr gäller alla fyra dagarna

VI SES",396,Event
Yoga i Valborg,"Yoga i Valborg
Välkommen att landa på en rofylld plats möta våren dig själv och tid för yoga Boka plats genom sms 0708276209 alt
mail yogacarinaivarssonse

Tisd 304 0800–0930 Yin
Onsd 15 08000930 Hatha
Torsd 25 1800–1930 Yin  meditation
Fred 35 08000930 Hatha
Pris 180 krpass

Lörd 45 0800–1100 HathaYinMeditation
Sönd 55 0800–1100 HathaYinMeditation
Pris 400 krpass inkl fika frukt",11,Yoga Studio
Våravslutning 2019 Disney World av Dansklubben Marionetterna,"Våravslutning 2019 Disney World av Dansklubben Marionetterna
Välkommen till Disneys magiska värld

Insläpp 1340
Föreställning 1400ca1500",408,School
Fortsättningskurs i teater med Teater Scratch,"Fortsättningskurs i teater med Teater Scratch
Kursen vänder sig till dig som gått våra tidigare helgeller veckokurser där du får fler verktyg för mer avancerad förståelse av teateroch improvisationsteknik

Denna vidareutbildning medför möjlighet till att medverka i en större produktion

Schema
Fredag 3 maj kl 19  21
lördag  söndag 45 kl 10  17 lunchrast mitt på dagen ca 30 min
Pris 700 kr för hela  helgen

Anmäl er här
httpswwwsimplesignupseevent148448",119,Performance Art Theatre
Tuomas Palonen  Astor Wolfe på Larrys Backroom,"Tuomas Palonen  Astor Wolfe på Larrys Backroom
Söndagssession den 5 maj med Tuomas Palonen och Astor Wolfe

Tuomas Palonen från Helsingfors kom ut med ett fullständigt bländande folkalbum ifjol och som fått kritiker och lyssnare att tala i tungor Tänk The Incredible String Band eller Vashti Bunyan fast på finska

Sångskrivaren Astor Wolfe verkar i ett skymningsland mellan det skeva söndrade och det glittrande naiva Där återkommer platser och figurer i en halvt förfluten halvt drömd tidsålder Astor Wolfe har tidigare uppträtt såväl som gatumusikant som i brokiga scenkonstellationer skönlitterära samarbeten och har även komponerat musik för teater

Astor Wolfe inleder klockan 1930 och sedan tar Tuomas Palonen vid Stötta kvällens akter genom att erlägga 60 spänn vi tar swish eller kontanter och det finns förfriskningar i baren

  

Sunday session May 5 with Tuomas Palonen and Astor Wolfe

Tuomas Palonen from Helsinki came out with a completely dazzling folk album last year and got critics and listeners talking in tongues Think The Incredible String Band or Vashti Bunyan but sung in Finnish

The songwriter Astor Wolfe works in a twilight land between the warped shattered and the glittering naive There are places and figures coming back in a half past halfdreamed age Astor Wolfe has previously performed as well as street musician as in motley stage constellations fiction works and has also composed music for theater

Astor Wolfe starts at 1930 and then Tuomas Palonen takes over Support them by paying 60 kronors we take swish or cash and there are refreshments in the bar",859,Arts  Entertainment
Novelläsning i Kramfors,"Novelläsning i Kramfors
Slå dig ner och lyssna när någon av våra bibliotekarier läser en novell Efteråt fikar vi tillsammans
Varmt välkommen",66,Library
Indian Road Show 2019,"Indian Road Show 2019
Provkör Indians 2019modeller
Generalagenten är på plats",100,Motorcycle Dealership
Högtidligt månadsfirande,"Högtidligt månadsfirande
18 maj Järna
Kl 1822 i Robygge matsalen

Vi möts kl 18 i en enkel måltid ingen uppvärmd eller kladdig mat Det finns ingen tillgång till kök så medtag även eget porslin
Förslagsvis snittar piroger bröd el chips etc Och nåt att dricka

Månadsbetraktelsen utgår från månaden djurkretsen Vi ger också rapport eller betraktelse av sektionerna i den fria högskolan för antroposofiandevetenskap med dess elva sektioner för olika livsområden som har sitt centrum i Goetheanum

Utöver månadsbetraktelsen som vi gör tillsammans i krets så har vi avslutningsvis en öppen scen där den som vill gärna får läsa en dikt sjunga en sång mm

Det är drop in under kvällen man kommer och går som man vill Det finns bussar från Järna som passar ganska bra även med Pendeltåget Annars är ju samåkning förträffligt Frivilligt inträde går till Antroposofiska sällskapet


Hjärtligt välkommen

Värdskapsamordnare Markus Tibbling

Läs mer om månadsfirandet här 
httpsgooglNOP3qN

Fritt initiativ inom Antroposofiska Sällskapet",158,Nonprofit Organization
